(7283160536110972562, 2470046249237005108)
(5427444537860984558, 12013983377266113473)
(7886166898708604456, 10318516121000477530)
(9052958682724835560, 4721598091369929811)
(11912557079871531141, 4878479267643304601)
(5404411612219761838, 13186534366218902921)
(17340435682350513354, 13403350588321591575)
(9789436281193894111, 14203274068431896193)
(14650476073709042416, 13737189128378658880)
(6972487320832550339, 13212101976207156728)
(1047445357865568670, 2896952716548950770)
(13254198275971426631, 2839322316393967749)
(2250167848067761550, 7760936326780747600)
(5164559575942533411, 5926772447410775132)
(5142538735559441498, 5946114955897118848)
(6978631883900727143, 1977896474800822540)
(12984512111246822630, 8163334763350256733)
(4170566656301527506, 6748761394209281327)
(9386149381994686319, 9177376907762779355)
(11118381580022990598, 15352062371726336983)
(5844029261328413859, 15314649855884193095)
(3413099739977942675, 12230719789449888085)
(2599305979445150398, 2928812143293811590)
(8297181770709905646, 5577185235755697749)
(11761984025588109809, 540645397317432384)
(16456507874179655718, 10738753318084596868)
(10120379244994890256, 14841243518694564238)
(2806365503637978276, 12017769918607416935)
(9163033268951201569, 7547845223711873758)
(16027165751946855347, 16995119906247588348)
(2244423623159826945, 12184332590190743180)
(924011594318981573, 16974967955442755394)
(6117104216162775096, 4987467532089978926)
(14285477076568915967, 13560526553195139164)
(13330447659141250431, 9702505169208608021)
(2389705734739382446, 7156309076450351241)
(10619109460020529278, 4331663457304567960)
(16843128224970637500, 2509230726217934526)
(17824978885623411649, 14310647995721023888)
(5936042296755107956, 14515485365688252319)
(7021164370537646260, 12180298369499996657)
(3336927590784640378, 1961751063916415014)
(11764005779792332035, 8601140013595477490)
(8481167983723796700, 6641068457955591280)
(4835248096790703650, 3824987152548426297)
(11494657401431669856, 9236184287423214563)
(16599685038155328007, 8916163972634099014)
(192421977934035227, 1630455256865326456)
(10909675190823543856, 12101595657976620568)
(13083388234922134632, 88143562466832474)
(9484650914772706843, 771556833776822096)
(6914362390830856243, 2532147078154273622)
(13459723724810098362, 8124506098557182891)
(3356610034063651680, 11525141013393318031)
(13040706415640310408, 4849465820002618728)
(10485198603965757377, 11186859343814859295)
(10965838509515003351, 2940672988981221367)
(16432937764778575224, 5835475959555478794)
(10773261153474028662, 14069837498914432681)
(1099229515043749589, 13506754954179397403)
(1203535798027477510, 10164445315029010574)
(6516043958153866476, 7389195698917317220)
(7902665419017068175, 3364043601517687343)
(6657346125658691688, 2476900659743949956)
(12337131687703442236, 14322778286644829644)
(949823803045891309, 9601164493642403686)
(5103331803391200471, 7515976258861937519)
(2415305366846443500, 1404726007180379483)
(8936450860943373787, 17745915624498780416)
(2976796816745085477, 15907221494894009249)
(23349013072256637, 1677490701975193300)
(6260806849936722668, 9333173537290326898)
(12732725400326247909, 603570196439682407)
(11179076594703909811, 4154340600111203104)
(10086198911168435696, 1398691440100044093)
(895812562616742421, 7151836924439271347)
(16750024077970136093, 12542517296780651212)
(13701580146108534301, 14092396074491521582)
(9795303455585397074, 1873336572417017385)
(12248351609300626370, 4165235318876384185)
(2525679647802962255, 4861117434883996858)
(13746839643102513561, 16941175533842493394)
(5394980734527939358, 1573037677922818120)
(14981296851460700100, 14620285990385810058)
(4779721937462682108, 12464758534182832628)
(10992467804083220273, 16505030884766732334)
(6051013926132037871, 6440258213505225981)
(17755028646796763393, 17656735399652872878)
(3027334663426052831, 13158265609191196876)
(16856429590643570013, 3192184411411396287)
(17336036155686833421, 6100652587193232422)
(14888262960151808039, 10353209326027045091)
